State,County,Year,Population
North Carolina,Transylvania County,2021,33494
North Carolina,Dare County,2005,33544
North Carolina,Scotland County,2022,33548
North Carolina,Scotland County,2023,33660
North Carolina,Transylvania County,2022,33668
North Carolina,Macon County,2012,33731
North Carolina,Dare County,2006,33799
North Carolina,Scotland County,2024,33898
North Carolina,Transylvania County,2023,33934
North Carolina,Pender County,2009,34003
North Carolina,Dare County,2007,34054
North Carolina,Davie County,2005,34056
North Carolina,Jackson County,2011,34066
North Carolina,Franklin County,2007,34086
North Carolina,Transylvania County,2024,34103
North Carolina,Macon County,2013,34152
North Carolina,Yadkin County,2005,34169
North Carolina,Dare County,2008,34308
North Carolina,Yadkin County,2006,34369
North Carolina,Dare County,2009,34563
North Carolina,Yadkin County,2007,34570
North Carolina,Macon County,2014,34573
North Carolina,Davie County,2006,34648
North Carolina,Yadkin County,2008,34770
North Carolina,Dare County,2010,34818
North Carolina,Jackson County,2012,34949
North Carolina,Yadkin County,2009,34970
North Carolina,Macon County,2015,34994
North Carolina,Dare County,2011,35072
North Carolina,Person County,2005,35131
North Carolina,Yadkin County,2010,35170
North Carolina,Alexander County,2005,35220
North Carolina,Davie County,2007,35240
North Carolina,Alexander County,2006,35290
North Carolina,Dare County,2012,35327
North Carolina,Alexander County,2007,35360
North Carolina,Yadkin County,2011,35370
North Carolina,Person County,2006,35391
North Carolina,Macon County,2016,35415
North Carolina,Alexander County,2008,35430
North Carolina,Alexander County,2009,35500
North Carolina,Alexander County,2010,35570
North Carolina,Yadkin County,2012,35571
North Carolina,Dare County,2013,35582
North Carolina,Alexander County,2011,35640
North Carolina,Person County,2007,35650
North Carolina,Alexander County,2012,35710
North Carolina,Pasquotank County,2005,35747
North Carolina,Yadkin County,2013,35771
North Carolina,Alexander County,2013,35780
North Carolina,Jackson County,2013,35831
North Carolina,Davie County,2008,35832
North Carolina,Macon County,2017,35836
North Carolina,Dare County,2014,35837
North Carolina,Alexander County,2014,35851
North Carolina,Person County,2008,35910
North Carolina,Alexander County,2015,35921
North Carolina,Brunswick County,2006,35966
North Carolina,Yadkin County,2014,35971
North Carolina,Alexander County,2016,35991
North Carolina,Pasquotank County,2006,36046
North Carolina,Alexander County,2017,36061
North Carolina,Dare County,2015,36091
North Carolina,Alexander County,2018,36131
North Carolina,Person County,2009,36169
North Carolina,Yadkin County,2015,36171
North Carolina,Alexander County,2019,36201
North Carolina,Alexander County,2022,36237
North Carolina,Macon County,2018,36257
North Carolina,Alexander County,2021,36292
North Carolina,Dare County,2016,36346
North Carolina,Pasquotank County,2007,36346
North Carolina,Yadkin County,2016,36371
North Carolina,Alexander County,2020,36410
North Carolina,Davie County,2009,36424
North Carolina,Alexander County,2023,36427
North Carolina,Person County,2010,36428
North Carolina,Pender County,2010,36430
North Carolina,Yadkin County,2017,36572
North Carolina,Dare County,2017,36601
North Carolina,Pasquotank County,2008,36645
North Carolina,Macon County,2019,36677
North Carolina,Person County,2011,36688
North Carolina,Alexander County,2024,36693
North Carolina,Jackson County,2014,36713
North Carolina,Yadkin County,2018,36772
North Carolina,Franklin County,2008,36773
North Carolina,Dare County,2018,36855
North Carolina,Pasquotank County,2009,36944
North Carolina,Person County,2012,36947
North Carolina,Yadkin County,2019,36972
North Carolina,Davie County,2010,37016
North Carolina,Dare County,2020,37038
North Carolina,Macon County,2020,37095
North Carolina,Dare County,2019,37110
North Carolina,Person County,2013,37207
North Carolina,Pasquotank County,2010,37243
North Carolina,Yadkin County,2020,37253
North Carolina,Yadkin County,2021,37280
North Carolina,Macon County,2021,37465
North Carolina,Person County,2014,37466
North Carolina,Yadkin County,2022,37539
North Carolina,Pasquotank County,2011,37542
North Carolina,Jackson County,2015,37595
North Carolina,Davie County,2011,37608
North Carolina,Person County,2015,37725
North Carolina,Yadkin County,2023,37798
North Carolina,Pasquotank County,2012,37842
North Carolina,Dare County,2021,37924
North Carolina,Person County,2016,37985
North Carolina,Yadkin County,2024,37995
North Carolina,Macon County,2022,37996
North Carolina,Dare County,2022,38047
North Carolina,Pasquotank County,2013,38141
North Carolina,Dare County,2023,38181
North Carolina,Dare County,2024,38183
North Carolina,Davie County,2012,38200
North Carolina,Person County,2017,38244
North Carolina,Macon County,2023,38430
North Carolina,Pasquotank County,2014,38440
North Carolina,Jackson County,2016,38477
North Carolina,Person County,2018,38504
North Carolina,Macon County,2024,38717
North Carolina,Pasquotank County,2015,38739
North Carolina,Person County,2019,38763
North Carolina,Davie County,2013,38792
North Carolina,Pender County,2011,38857
North Carolina,Pasquotank County,2016,39038
North Carolina,Person County,2021,39150
North Carolina,Person County,2020,39187
North Carolina,Pasquotank County,2017,39338
North Carolina,Stokes County,2005,39348
North Carolina,Jackson County,2017,39360
North Carolina,Davie County,2014,39385
North Carolina,Person County,2022,39396
North Carolina,Franklin County,2009,39459
North Carolina,Pasquotank County,2018,39637
North Carolina,Stokes County,2006,39689
North Carolina,Person County,2023,39832
North Carolina,Pasquotank County,2019,39936
North Carolina,Davie County,2015,39977
North Carolina,Stokes County,2007,40030
North Carolina,Person County,2024,40143
North Carolina,Jackson County,2018,40242
North Carolina,Pasquotank County,2020,40270
North Carolina,Stokes County,2008,40370
North Carolina,Pasquotank County,2021,40484
North Carolina,Davie County,2016,40569
North Carolina,Stokes County,2009,40711
North Carolina,Pasquotank County,2022,40818
North Carolina,Hoke County,2005,40819
North Carolina,Duplin County,2005,40858
North Carolina,Stokes County,2010,41051
North Carolina,Jackson County,2019,41124
North Carolina,Davie County,2017,41161
North Carolina,Pasquotank County,2023,41180
North Carolina,Pender County,2012,41283
North Carolina,Duplin County,2006,41357
North Carolina,Stokes County,2011,41392
North Carolina,Pasquotank County,2024,41418
North Carolina,Hoke County,2006,41585
North Carolina,McDowell County,2005,41651
North Carolina,Stokes County,2012,41733
North Carolina,Davie County,2018,41753
North Carolina,McDowell County,2006,41838
North Carolina,Duplin County,2007,41855
North Carolina,Richmond County,2024,41990
North Carolina,Richmond County,2023,42003
North Carolina,McDowell County,2007,42024
North Carolina,Stokes County,2013,42073
North Carolina,Vance County,2021,42126
North Carolina,Franklin County,2010,42146
North Carolina,Jackson County,2020,42146
North Carolina,McDowell County,2008,42210
North Carolina,Vance County,2022,42258
North Carolina,Vance County,2023,42329
North Carolina,Vance County,2024,42337
North Carolina,Davie County,2019,42345
North Carolina,Hoke County,2007,42350
North Carolina,Duplin County,2008,42354
North Carolina,Richmond County,2022,42360
North Carolina,Vance County,2019,42394
North Carolina,McDowell County,2009,42396
North Carolina,Stokes County,2014,42414
North Carolina,Vance County,2018,42418
North Carolina,Vance County,2017,42442
North Carolina,Vance County,2016,42466
North Carolina,Vance County,2015,42490
North Carolina,Jackson County,2021,42498
North Carolina,Vance County,2014,42514
North Carolina,Vance County,2013,42538
North Carolina,Vance County,2020,42559
North Carolina,Vance County,2012,42562
North Carolina,McDowell County,2010,42582
North Carolina,Vance County,2011,42586
North Carolina,Lee County,2005,42593
North Carolina,Vance County,2010,42611
North Carolina,Vance County,2009,42635
North Carolina,Richmond County,2021,42641
North Carolina,Vance County,2008,42659
North Carolina,Vance County,2007,42683
North Carolina,Vance County,2006,42707
North Carolina,Richmond County,2020,42725
North Carolina,Vance County,2005,42731
North Carolina,Stokes County,2015,42754
North Carolina,McDowell County,2011,42769
North Carolina,Duplin County,2009,42852
North Carolina,Davie County,2020,42894
North Carolina,McDowell County,2012,42955
North Carolina,Richmond County,2019,42976
North Carolina,Stokes County,2016,43095
North Carolina,Hoke County,2008,43116
North Carolina,McDowell County,2013,43141
North Carolina,Richmond County,2018,43187
North Carolina,Brunswick County,2007,43253
North Carolina,McDowell County,2014,43327
North Carolina,Duplin County,2010,43351
North Carolina,Richmond County,2017,43397
North Carolina,Stokes County,2017,43436
North Carolina,McDowell County,2015,43513
North Carolina,Richmond County,2016,43608
North Carolina,Davie County,2021,43651
North Carolina,McDowell County,2016,43700
North Carolina,Pender County,2013,43710
North Carolina,Stokes County,2018,43776
North Carolina,Richmond County,2015,43819
North Carolina,Duplin County,2011,43850
North Carolina,Jackson County,2022,43880
North Carolina,Hoke County,2009,43882
North Carolina,McDowell County,2017,43886
North Carolina,Lee County,2006,43959
North Carolina,Richmond County,2014,44030
North Carolina,McDowell County,2018,44072
North Carolina,Davie County,2022,44087
North Carolina,Stokes County,2019,44117
North Carolina,Richmond County,2013,44241
North Carolina,McDowell County,2019,44258
North Carolina,Stanly County,2005,44310
North Carolina,Duplin County,2012,44348
North Carolina,Beaufort County,2022,44356
North Carolina,Beaufort County,2023,44410
North Carolina,Richmond County,2012,44451
North Carolina,Beaufort County,2021,44462
North Carolina,McDowell County,2021,44536
North Carolina,McDowell County,2020,44554
North Carolina,Beaufort County,2024,44576
North Carolina,Stokes County,2020,44579
North Carolina,Beaufort County,2019,44582
North Carolina,Davie County,2023,44594
North Carolina,Beaufort County,2018,44610
North Carolina,Stokes County,2021,44636
North Carolina,Beaufort County,2017,44638
North Carolina,Hoke County,2010,44647
North Carolina,Richmond County,2011,44662
North Carolina,Beaufort County,2016,44666
North Carolina,Beaufort County,2020,44690
North Carolina,Beaufort County,2015,44694
North Carolina,Beaufort County,2014,44722
North Carolina,Beaufort County,2013,44750
North Carolina,McDowell County,2022,44759
North Carolina,Beaufort County,2012,44778
North Carolina,Beaufort County,2011,44806
North Carolina,Franklin County,2011,44833
North Carolina,Beaufort County,2010,44834
North Carolina,Duplin County,2013,44847
North Carolina,Beaufort County,2009,44862
North Carolina,Richmond County,2010,44873
North Carolina,Beaufort County,2008,44890
North Carolina,Beaufort County,2007,44918
North Carolina,Beaufort County,2006,44946
North Carolina,McDowell County,2023,44968
North Carolina,Beaufort County,2005,44974
North Carolina,Jackson County,2023,45050
North Carolina,Richmond County,2009,45084
North Carolina,Stokes County,2022,45137
North Carolina,McDowell County,2024,45269
North Carolina,Jackson County,2024,45281
North Carolina,Richmond County,2008,45295
North Carolina,Lee County,2007,45325
North Carolina,Duplin County,2014,45345
North Carolina,Davie County,2024,45383
North Carolina,Hoke County,2011,45413
North Carolina,Stokes County,2023,45486
North Carolina,Richmond County,2007,45505
North Carolina,Stanly County,2006,45507
North Carolina,Richmond County,2006,45716
North Carolina,Duplin County,2015,45844
North Carolina,Stokes County,2024,45857
North Carolina,Richmond County,2005,45927
North Carolina,Pender County,2014,46136
North Carolina,Hoke County,2012,46178
North Carolina,Duplin County,2016,46343
North Carolina,Edgecombe County,2005,46555
North Carolina,Edgecombe County,2006,46683
North Carolina,Lee County,2008,46691
North Carolina,Stanly County,2007,46703
North Carolina,Edgecombe County,2007,46811
North Carolina,Duplin County,2017,46841
North Carolina,Edgecombe County,2008,46940
North Carolina,Hoke County,2013,46944
North Carolina,Halifax County,2024,46992
North Carolina,Edgecombe County,2009,47068
North Carolina,Halifax County,2023,47068
North Carolina,Edgecombe County,2010,47196
North Carolina,Lincoln County,2005,47229
North Carolina,Edgecombe County,2011,47325
North Carolina,Duplin County,2018,47340
North Carolina,Edgecombe County,2012,47453
North Carolina,Franklin County,2012,47519
North Carolina,Edgecombe County,2013,47581
North Carolina,Halifax County,2022,47623
North Carolina,Edgecombe County,2014,47709
North Carolina,Hoke County,2014,47710
North Carolina,Duplin County,2019,47838
North Carolina,Edgecombe County,2015,47838
North Carolina,Stanly County,2008,47900
North Carolina,Edgecombe County,2016,47966
North Carolina,Lee County,2009,48057
North Carolina,Edgecombe County,2017,48094
North Carolina,Edgecombe County,2018,48223
North Carolina,Halifax County,2021,48275
North Carolina,Edgecombe County,2019,48351
North Carolina,Edgecombe County,2021,48351
North Carolina,Halifax County,2020,48416
North Carolina,Hoke County,2015,48475
North Carolina,Edgecombe County,2022,48481
North Carolina,Pender County,2015,48563
North Carolina,Duplin County,2021,48575
North Carolina,Duplin County,2020,48668
North Carolina,Edgecombe County,2020,48780
North Carolina,Halifax County,2019,48891
North Carolina,Edgecombe County,2023,48946
North Carolina,Duplin County,2022,49072
North Carolina,Chatham County,2005,49093
North Carolina,Stanly County,2009,49096
North Carolina,Edgecombe County,2024,49124
North Carolina,Hoke County,2016,49241
North Carolina,Halifax County,2018,49296
North Carolina,Lee County,2010,49423
North Carolina,Halifax County,2017,49702
North Carolina,Duplin County,2023,49819
North Carolina,Lincoln County,2006,49905
North Carolina,Columbus County,2021,50004
North Carolina,Hoke County,2017,50006
North Carolina,Columbus County,2022,50027
North Carolina,Columbus County,2024,50054
North Carolina,Halifax County,2016,50107
North Carolina,Columbus County,2023,50140
North Carolina,Franklin County,2013,50206
North Carolina,Stanly County,2010,50293
North Carolina,Columbus County,2019,50351
North Carolina,Columbus County,2018,50422
North Carolina,Columbus County,2020,50475
North Carolina,Columbus County,2017,50493
North Carolina,Halifax County,2015,50513
North Carolina,Duplin County,2024,50539
North Carolina,Brunswick County,2008,50541
North Carolina,Columbus County,2016,50563
North Carolina,Columbus County,2015,50634
North Carolina,Columbus County,2014,50704
North Carolina,Hoke County,2018,50772
North Carolina,Columbus County,2013,50775
North Carolina,Lee County,2011,50789
North Carolina,Columbus County,2012,50846
North Carolina,Columbus County,2011,50916
North Carolina,Halifax County,2014,50918
North Carolina,Chatham County,2006,50920
North Carolina,Columbus County,2010,50987
North Carolina,Pender County,2016,50990
North Carolina,Columbus County,2009,51057
North Carolina,Columbus County,2008,51128
North Carolina,Columbus County,2007,51199
North Carolina,Columbus County,2006,51269
North Carolina,Halifax County,2013,51324
North Carolina,Columbus County,2005,51340
North Carolina,Stanly County,2011,51489
North Carolina,Hoke County,2019,51538
North Carolina,Halifax County,2012,51729
North Carolina,Halifax County,2011,52135
North Carolina,Lee County,2012,52155
North Carolina,Hoke County,2020,52249
North Carolina,Halifax County,2010,52540
North Carolina,Lincoln County,2007,52580
North Carolina,Stanly County,2012,52686
North Carolina,Chatham County,2007,52747
North Carolina,Franklin County,2014,52892
North Carolina,Halifax County,2009,52946
North Carolina,Watauga County,2005,53171
North Carolina,Hoke County,2021,53197
North Carolina,Watauga County,2006,53286
North Carolina,Halifax County,2008,53351
North Carolina,Watauga County,2007,53401
North Carolina,Pender County,2017,53416
North Carolina,Watauga County,2008,53516
North Carolina,Lee County,2013,53521
North Carolina,Lenoir County,2005,53550
North Carolina,Watauga County,2009,53630
North Carolina,Lenoir County,2006,53631
North Carolina,Lenoir County,2007,53711
North Carolina,Sampson County,2005,53737
North Carolina,Watauga County,2010,53745
North Carolina,Halifax County,2007,53757
North Carolina,Hoke County,2022,53759
North Carolina,Lenoir County,2008,53792
North Carolina,Watauga County,2011,53860
North Carolina,Lenoir County,2009,53872
North Carolina,Stanly County,2013,53882
North Carolina,Lenoir County,2010,53953
North Carolina,Watauga County,2012,53975
North Carolina,Lenoir County,2011,54033
North Carolina,Sampson County,2006,54074
North Carolina,Watauga County,2013,54090
North Carolina,Lenoir County,2012,54114
North Carolina,Halifax County,2006,54162
North Carolina,Lenoir County,2013,54194
North Carolina,Watauga County,2014,54204
North Carolina,Lenoir County,2014,54275
North Carolina,Watauga County,2015,54319
North Carolina,Lenoir County,2015,54355
North Carolina,Sampson County,2007,54412
North Carolina,Watauga County,2016,54434
North Carolina,Lenoir County,2016,54436
North Carolina,Watauga County,2020,54470
North Carolina,Lenoir County,2017,54516
North Carolina,Lenoir County,2022,54529
North Carolina,Watauga County,2017,54549
North Carolina,Halifax County,2005,54568
North Carolina,Chatham County,2008,54574
North Carolina,Hoke County,2023,54587
North Carolina,Lenoir County,2018,54597
North Carolina,Granville County,2005,54607
North Carolina,Watauga County,2018,54664
North Carolina,Lenoir County,2019,54677
North Carolina,Lenoir County,2021,54710
North Carolina,Sampson County,2008,54749
North Carolina,Watauga County,2019,54778
North Carolina,Lee County,2014,54887
North Carolina,Lenoir County,2023,54967
North Carolina,Granville County,2006,54976
North Carolina,Watauga County,2024,54997
North Carolina,Lenoir County,2020,55058
North Carolina,Stanly County,2014,55079
North Carolina,Sampson County,2009,55086
North Carolina,Lincoln County,2008,55256
North Carolina,Watauga County,2021,55326
North Carolina,Lenoir County,2024,55332
North Carolina,Granville County,2007,55344
North Carolina,Hoke County,2024,55382
North Carolina,Watauga County,2022,55404
North Carolina,Watauga County,2023,55420
North Carolina,Sampson County,2010,55423
North Carolina,Franklin County,2015,55579
North Carolina,Granville County,2008,55713
North Carolina,Sampson County,2011,55760
North Carolina,Pender County,2018,55843
North Carolina,Granville County,2009,56082
North Carolina,Sampson County,2012,56098
North Carolina,Lee County,2015,56253
North Carolina,Stanly County,2015,56275
North Carolina,Chatham County,2009,56401
North Carolina,Sampson County,2013,56435
North Carolina,Granville County,2010,56451
North Carolina,Sampson County,2014,56772
North Carolina,Granville County,2011,56820
North Carolina,Sampson County,2015,57109
North Carolina,Granville County,2012,57188
North Carolina,Sampson County,2016,57446
North Carolina,Stanly County,2016,57472
North Carolina,Granville County,2013,57557
North Carolina,Lee County,2016,57619
North Carolina,Sampson County,2017,57784
North Carolina,Brunswick County,2009,57829
North Carolina,Granville County,2014,57926
North Carolina,Lincoln County,2009,57932
North Carolina,Sampson County,2018,58121
North Carolina,Chatham County,2010,58228
North Carolina,Franklin County,2016,58266
North Carolina,Pender County,2019,58269
North Carolina,Granville County,2015,58295
North Carolina,Sampson County,2019,58458
North Carolina,Granville County,2016,58664
North Carolina,Stanly County,2017,58668
North Carolina,Carteret County,2005,58722
North Carolina,Lee County,2017,58985
North Carolina,Granville County,2017,59032
North Carolina,Sampson County,2021,59038
North Carolina,Sampson County,2020,59070
North Carolina,Sampson County,2022,59096
North Carolina,Haywood County,2005,59168
North Carolina,Rutherford County,2005,59284
North Carolina,Carteret County,2006,59335
North Carolina,Haywood County,2006,59374
North Carolina,Granville County,2018,59401
North Carolina,Haywood County,2007,59579
North Carolina,Rutherford County,2006,59616
North Carolina,Sampson County,2023,59742
North Carolina,Granville County,2019,59770
North Carolina,Haywood County,2008,59785
North Carolina,Stanly County,2018,59865
North Carolina,Carteret County,2007,59948
North Carolina,Rutherford County,2007,59948
North Carolina,Haywood County,2009,59990
North Carolina,Chatham County,2011,60055
North Carolina,Granville County,2020,60151
North Carolina,Haywood County,2010,60196
North Carolina,Rutherford County,2008,60280
North Carolina,Lee County,2018,60351
North Carolina,Haywood County,2011,60401
North Carolina,Sampson County,2024,60404
North Carolina,Granville County,2021,60460
North Carolina,Carteret County,2008,60562
North Carolina,Haywood County,2012,60607
North Carolina,Lincoln County,2010,60608
North Carolina,Rutherford County,2009,60612
North Carolina,Pender County,2020,60625
North Carolina,Haywood County,2013,60812
North Carolina,Granville County,2022,60867
North Carolina,Rutherford County,2010,60944
North Carolina,Franklin County,2017,60952
North Carolina,Haywood County,2014,61018
North Carolina,Stanly County,2019,61061
North Carolina,Carteret County,2009,61175
North Carolina,Haywood County,2015,61223
North Carolina,Rutherford County,2011,61276
North Carolina,Granville County,2023,61362
North Carolina,Haywood County,2016,61429
North Carolina,Granville County,2024,61544
North Carolina,Rutherford County,2012,61609
North Carolina,Haywood County,2017,61634
North Carolina,Lee County,2019,61717
North Carolina,Carteret County,2010,61788
North Carolina,Haywood County,2018,61840
North Carolina,Chatham County,2012,61882
North Carolina,Rutherford County,2013,61941
North Carolina,Haywood County,2019,62045
North Carolina,Haywood County,2020,62218
North Carolina,Rutherford County,2014,62273
North Carolina,Carteret County,2011,62402
North Carolina,Haywood County,2021,62527
North Carolina,Haywood County,2022,62595
North Carolina,Rutherford County,2015,62605
North Carolina,Stanly County,2020,62679
North Carolina,Haywood County,2023,62922
North Carolina,Rutherford County,2016,62937
North Carolina,Pender County,2021,62994
North Carolina,Carteret County,2012,63015
North Carolina,Haywood County,2024,63048
North Carolina,Stanly County,2021,63147
North Carolina,Rutherford County,2017,63269
North Carolina,Lincoln County,2011,63283
North Carolina,Lee County,2020,63402
North Carolina,Rutherford County,2018,63601
North Carolina,Carteret County,2013,63628
North Carolina,Franklin County,2018,63639
North Carolina,Chatham County,2013,63708
North Carolina,Rutherford County,2019,63933
North Carolina,Lee County,2021,64031
North Carolina,Carteret County,2014,64242
North Carolina,Stanly County,2022,64285
North Carolina,Rutherford County,2020,64357
North Carolina,Wilkes County,2005,64494
North Carolina,Rutherford County,2021,64508
North Carolina,Wilkes County,2006,64579
North Carolina,Wilkes County,2007,64664
North Carolina,Wilkes County,2008,64749
North Carolina,Rutherford County,2022,64829
North Carolina,Wilkes County,2009,64833
North Carolina,Carteret County,2015,64855
North Carolina,Wilkes County,2010,64918
North Carolina,Wilkes County,2011,65003
North Carolina,Wilkes County,2012,65087
North Carolina,Brunswick County,2010,65116
North Carolina,Wilkes County,2013,65172
North Carolina,Wilkes County,2014,65257
North Carolina,Wilkes County,2015,65341
North Carolina,Rutherford County,2023,65369
North Carolina,Wilkes County,2016,65426
North Carolina,Carteret County,2016,65468
North Carolina,Wilkes County,2017,65511
North Carolina,Chatham County,2014,65535
North Carolina,Rutherford County,2024,65587
North Carolina,Wilkes County,2018,65596
North Carolina,Wilkes County,2019,65680
North Carolina,Lee County,2022,65687
North Carolina,Pender County,2022,65697
North Carolina,Wilkes County,2021,65798
North Carolina,Wilkes County,2022,65801
North Carolina,Stanly County,2023,65818
North Carolina,Wilkes County,2020,65872
North Carolina,Lincoln County,2012,65959
North Carolina,Wilkes County,2023,66017
North Carolina,Carteret County,2017,66081
North Carolina,Wilkes County,2024,66186
North Carolina,Franklin County,2019,66325
North Carolina,Carteret County,2018,66695
North Carolina,Carteret County,2019,67308
North Carolina,Stanly County,2024,67326
North Carolina,Chatham County,2015,67362
North Carolina,Lee County,2023,67421
North Carolina,Carteret County,2020,67695
North Carolina,Pender County,2023,68356
North Carolina,Lee County,2024,68537
North Carolina,Lincoln County,2013,68635
North Carolina,Carteret County,2021,68707
North Carolina,Franklin County,2020,69028
North Carolina,Chatham County,2016,69189
North Carolina,Carteret County,2022,69369
North Carolina,Carteret County,2023,69712
North Carolina,Pender County,2024,70077
North Carolina,Carteret County,2024,70259
North Carolina,Moore County,2005,70415
North Carolina,Surry County,2005,70495
North Carolina,Surry County,2006,70550
North Carolina,Surry County,2007,70604
North Carolina,Surry County,2008,70659
North Carolina,Surry County,2009,70714
North Carolina,Surry County,2010,70768
North Carolina,Surry County,2011,70823
North Carolina,Surry County,2012,70878
North Carolina,Surry County,2013,70932
North Carolina,Surry County,2014,70987
North Carolina,Chatham County,2017,71016
North Carolina,Surry County,2015,71042
North Carolina,Surry County,2016,71097
North Carolina,Surry County,2017,71151
North Carolina,Surry County,2018,71206
North Carolina,Surry County,2019,71261
North Carolina,Surry County,2021,71262
North Carolina,Lincoln County,2014,71310
North Carolina,Surry County,2020,71371
North Carolina,Surry County,2023,71457
North Carolina,Surry County,2022,71489
North Carolina,Surry County,2024,71547
North Carolina,Franklin County,2021,71712
North Carolina,Brunswick County,2011,72404
North Carolina,Moore County,2006,72442
North Carolina,Chatham County,2018,72843
North Carolina,Lincoln County,2015,73986
North Carolina,Franklin County,2022,74326
North Carolina,Moore County,2007,74469
North Carolina,Chatham County,2019,74670
North Carolina,Wilson County,2005,75594
North Carolina,Wilson County,2006,75811
North Carolina,Wilson County,2007,76028
North Carolina,Wilson County,2008,76246
North Carolina,Wilson County,2009,76463
North Carolina,Moore County,2008,76496
North Carolina,Chatham County,2020,76662
North Carolina,Lincoln County,2016,76662
North Carolina,Wilson County,2010,76681
North Carolina,Wilson County,2011,76898
North Carolina,Franklin County,2023,77092
North Carolina,Wilson County,2012,77115
North Carolina,Wilson County,2013,77333
North Carolina,Wilson County,2014,77550
North Carolina,Wilson County,2015,77768
North Carolina,Wilson County,2016,77985
North Carolina,Chatham County,2021,78147
North Carolina,Wilson County,2017,78202
North Carolina,Wilson County,2018,78420
North Carolina,Moore County,2009,78523
North Carolina,Wilson County,2019,78637
North Carolina,Wilson County,2021,78746
North Carolina,Wilson County,2022,78838
North Carolina,Wilson County,2020,79301
North Carolina,Lincoln County,2017,79337
North Carolina,Wilson County,2023,79606
North Carolina,Brunswick County,2012,79691
North Carolina,Franklin County,2024,79771
North Carolina,Caldwell County,2005,79905
North Carolina,Caldwell County,2006,79942
North Carolina,Wilson County,2024,79958
