State,County,Year,Population
North Carolina,Caldwell County,2007,79979
North Carolina,Caldwell County,2008,80016
North Carolina,Caldwell County,2009,80053
North Carolina,Chatham County,2022,80080
North Carolina,Caldwell County,2010,80090
North Carolina,Caldwell County,2011,80127
North Carolina,Caldwell County,2012,80164
North Carolina,Caldwell County,2013,80201
North Carolina,Caldwell County,2014,80239
North Carolina,Caldwell County,2022,80259
North Carolina,Caldwell County,2015,80276
North Carolina,Caldwell County,2016,80313
North Carolina,Caldwell County,2017,80350
North Carolina,Caldwell County,2018,80387
North Carolina,Caldwell County,2019,80424
North Carolina,Caldwell County,2021,80518
North Carolina,Moore County,2010,80550
North Carolina,Caldwell County,2023,80579
North Carolina,Caldwell County,2020,80584
North Carolina,Caldwell County,2024,80739
North Carolina,Rockingham County,2005,81925
North Carolina,Burke County,2005,81950
North Carolina,Chatham County,2023,81992
North Carolina,Lincoln County,2018,82013
North Carolina,Burke County,2006,82294
North Carolina,Rockingham County,2006,82526
North Carolina,Moore County,2011,82577
North Carolina,Burke County,2007,82638
North Carolina,Burke County,2008,82981
North Carolina,Rockingham County,2007,83126
North Carolina,Burke County,2009,83325
North Carolina,Burke County,2010,83669
North Carolina,Rockingham County,2008,83726
North Carolina,Chatham County,2024,83874
North Carolina,Nash County,2005,83903
North Carolina,Burke County,2011,84013
North Carolina,Rockingham County,2009,84326
North Carolina,Burke County,2012,84357
North Carolina,Moore County,2012,84604
North Carolina,Nash County,2006,84627
North Carolina,Lincoln County,2019,84689
North Carolina,Burke County,2013,84700
North Carolina,Rockingham County,2010,84927
North Carolina,Burke County,2014,85044
North Carolina,Nash County,2007,85351
North Carolina,Burke County,2015,85388
North Carolina,Rockingham County,2011,85527
North Carolina,Burke County,2016,85732
North Carolina,Burke County,2017,86076
North Carolina,Nash County,2008,86076
North Carolina,Rockingham County,2012,86127
North Carolina,Burke County,2018,86419
North Carolina,Harnett County,2005,86468
North Carolina,Moore County,2013,86631
North Carolina,Rockingham County,2013,86728
North Carolina,Burke County,2019,86763
North Carolina,Nash County,2009,86800
North Carolina,Brunswick County,2013,86979
North Carolina,Lincoln County,2020,87169
North Carolina,Burke County,2020,87248
North Carolina,Burke County,2021,87303
North Carolina,Rockingham County,2014,87328
North Carolina,Nash County,2010,87524
North Carolina,Burke County,2022,87732
North Carolina,Rockingham County,2015,87928
North Carolina,Burke County,2023,88147
North Carolina,Nash County,2011,88249
North Carolina,Rockingham County,2016,88529
North Carolina,Burke County,2024,88545
North Carolina,Moore County,2014,88659
North Carolina,Nash County,2012,88973
North Carolina,Rockingham County,2017,89129
North Carolina,Harnett County,2006,89567
North Carolina,Nash County,2013,89697
North Carolina,Rockingham County,2018,89729
North Carolina,Lincoln County,2021,89913
North Carolina,Rockingham County,2019,90329
North Carolina,Nash County,2014,90422
North Carolina,Moore County,2015,90686
North Carolina,Craven County,2005,90735
North Carolina,Nash County,2015,91146
North Carolina,Rockingham County,2020,91214
North Carolina,Rockingham County,2021,91241
North Carolina,Craven County,2006,91434
North Carolina,Cleveland County,2005,91515
North Carolina,Nash County,2016,91870
North Carolina,Rockingham County,2022,92044
North Carolina,Cleveland County,2006,92072
North Carolina,Craven County,2007,92133
North Carolina,Nash County,2017,92594
North Carolina,Cleveland County,2007,92630
North Carolina,Rockingham County,2023,92638
North Carolina,Harnett County,2007,92666
North Carolina,Moore County,2016,92713
North Carolina,Craven County,2008,92831
North Carolina,Lincoln County,2022,93103
North Carolina,Cleveland County,2008,93187
North Carolina,Nash County,2018,93319
North Carolina,Rockingham County,2024,93517
North Carolina,Craven County,2009,93530
North Carolina,Cleveland County,2009,93744
North Carolina,Nash County,2019,94043
North Carolina,Craven County,2010,94228
North Carolina,Brunswick County,2014,94267
North Carolina,Cleveland County,2010,94302
North Carolina,Moore County,2017,94740
North Carolina,Cleveland County,2011,94859
North Carolina,Craven County,2011,94927
North Carolina,Nash County,2020,95159
North Carolina,Nash County,2021,95215
North Carolina,Cleveland County,2012,95417
North Carolina,Craven County,2012,95626
North Carolina,Harnett County,2008,95765
North Carolina,Lincoln County,2023,95786
North Carolina,Nash County,2022,95922
North Carolina,Cleveland County,2013,95974
North Carolina,Craven County,2013,96324
North Carolina,Cleveland County,2014,96531
North Carolina,Moore County,2018,96767
North Carolina,Nash County,2023,96796
North Carolina,Craven County,2014,97023
North Carolina,Cleveland County,2015,97089
North Carolina,Lincoln County,2024,97611
North Carolina,Cleveland County,2016,97646
North Carolina,Craven County,2015,97721
North Carolina,Nash County,2024,97990
North Carolina,Johnston County,2005,98062
North Carolina,Cleveland County,2017,98204
North Carolina,Craven County,2016,98420
North Carolina,Cleveland County,2018,98761
North Carolina,Moore County,2019,98794
North Carolina,Harnett County,2009,98864
North Carolina,Craven County,2017,99119
North Carolina,Cleveland County,2019,99318
North Carolina,Craven County,2018,99817
North Carolina,Cleveland County,2020,99945
North Carolina,Henderson County,2005,100107
North Carolina,Moore County,2020,100293
North Carolina,Cleveland County,2021,100485
North Carolina,Craven County,2019,100516
North Carolina,Cleveland County,2022,100771
North Carolina,Henderson County,2006,101188
North Carolina,Craven County,2020,101505
North Carolina,Brunswick County,2015,101554
North Carolina,Cleveland County,2023,101561
North Carolina,Craven County,2021,101667
North Carolina,Harnett County,2010,101963
North Carolina,Cleveland County,2024,102194
North Carolina,Henderson County,2007,102269
North Carolina,Craven County,2022,102392
North Carolina,Moore County,2021,103049
North Carolina,Craven County,2023,103329
North Carolina,Henderson County,2008,103350
North Carolina,Craven County,2024,104167
North Carolina,Henderson County,2009,104431
North Carolina,Robeson County,2005,104801
North Carolina,Harnett County,2011,105062
North Carolina,Henderson County,2010,105512
North Carolina,Robeson County,2006,105513
North Carolina,Moore County,2022,105548
North Carolina,Johnston County,2006,106074
North Carolina,Robeson County,2007,106225
North Carolina,Wayne County,2005,106230
North Carolina,Henderson County,2011,106593
North Carolina,Robeson County,2008,106936
North Carolina,Wayne County,2006,106960
North Carolina,Moore County,2023,107072
North Carolina,Robeson County,2009,107648
North Carolina,Henderson County,2012,107674
North Carolina,Wayne County,2007,107691
North Carolina,Harnett County,2012,108161
North Carolina,Robeson County,2010,108360
North Carolina,Moore County,2024,108417
North Carolina,Wayne County,2008,108422
North Carolina,Henderson County,2013,108755
North Carolina,Brunswick County,2016,108842
North Carolina,Robeson County,2011,109072
North Carolina,Wayne County,2009,109152
North Carolina,Robeson County,2012,109784
North Carolina,Henderson County,2014,109836
North Carolina,Wayne County,2010,109883
North Carolina,Robeson County,2013,110495
North Carolina,Wayne County,2011,110614
North Carolina,Henderson County,2015,110917
North Carolina,Robeson County,2014,111207
North Carolina,Harnett County,2013,111259
North Carolina,Wayne County,2012,111345
North Carolina,Robeson County,2015,111919
North Carolina,Henderson County,2016,111998
North Carolina,Wayne County,2013,112075
North Carolina,Robeson County,2016,112631
North Carolina,Orange County,2005,112735
North Carolina,Wayne County,2014,112806
North Carolina,Henderson County,2017,113079
North Carolina,Robeson County,2017,113343
North Carolina,Wayne County,2015,113537
North Carolina,Robeson County,2018,114054
North Carolina,Johnston County,2007,114086
North Carolina,Henderson County,2018,114160
North Carolina,Wayne County,2016,114267
North Carolina,Harnett County,2014,114358
North Carolina,Robeson County,2019,114766
North Carolina,Orange County,2006,114908
North Carolina,Wayne County,2017,114998
North Carolina,Henderson County,2019,115241
North Carolina,Wayne County,2018,115729
North Carolina,Robeson County,2021,115901
North Carolina,Robeson County,2020,115967
North Carolina,Brunswick County,2017,116129
North Carolina,Robeson County,2022,116313
North Carolina,Wayne County,2019,116459
North Carolina,Henderson County,2020,116571
North Carolina,Orange County,2007,117081
North Carolina,Henderson County,2021,117166
North Carolina,Wayne County,2021,117395
North Carolina,Harnett County,2015,117457
North Carolina,Robeson County,2023,117705
North Carolina,Wayne County,2020,117772
North Carolina,Wayne County,2022,118185
North Carolina,Henderson County,2022,118336
North Carolina,Robeson County,2024,118624
North Carolina,Orange County,2008,119254
North Carolina,Iredell County,2005,119331
North Carolina,Wayne County,2023,119570
North Carolina,Henderson County,2023,119576
North Carolina,Wayne County,2024,120338
North Carolina,Harnett County,2016,120556
North Carolina,Rowan County,2005,120727
North Carolina,Henderson County,2024,120771
North Carolina,Orange County,2009,121427
North Carolina,Johnston County,2008,122098
North Carolina,Rowan County,2006,122441
North Carolina,Brunswick County,2018,123417
North Carolina,Orange County,2010,123600
North Carolina,Harnett County,2017,123655
North Carolina,Iredell County,2006,123873
North Carolina,Rowan County,2007,124156
North Carolina,Orange County,2011,125773
North Carolina,Rowan County,2008,125871
North Carolina,Harnett County,2018,126754
North Carolina,Rowan County,2009,127585
North Carolina,Alamance County,2005,127907
North Carolina,Orange County,2012,127947
North Carolina,Iredell County,2007,128415
North Carolina,Randolph County,2005,128538
North Carolina,Rowan County,2010,129300
North Carolina,Randolph County,2006,129586
North Carolina,Harnett County,2019,129853
North Carolina,Johnston County,2009,130109
North Carolina,Orange County,2013,130120
North Carolina,Randolph County,2007,130634
North Carolina,Brunswick County,2019,130705
North Carolina,Alamance County,2006,130788
North Carolina,Rowan County,2011,131014
North Carolina,Randolph County,2008,131681
North Carolina,Orange County,2014,132293
North Carolina,Randolph County,2009,132729
North Carolina,Rowan County,2012,132729
North Carolina,Iredell County,2008,132957
North Carolina,Alamance County,2007,133670
North Carolina,Harnett County,2020,133716
North Carolina,Randolph County,2010,133776
North Carolina,Rowan County,2013,134444
North Carolina,Orange County,2015,134466
North Carolina,Randolph County,2011,134824
North Carolina,Harnett County,2021,135563
North Carolina,Davidson County,2005,135851
North Carolina,Randolph County,2012,135872
North Carolina,Rowan County,2014,136158
North Carolina,Alamance County,2008,136551
North Carolina,Orange County,2016,136639
North Carolina,Randolph County,2013,136919
North Carolina,Catawba County,2005,137048
North Carolina,Iredell County,2009,137499
North Carolina,Rowan County,2015,137873
North Carolina,Randolph County,2014,137967
North Carolina,Davidson County,2006,138033
North Carolina,Johnston County,2010,138121
North Carolina,Brunswick County,2020,138167
North Carolina,Harnett County,2022,138583
North Carolina,Catawba County,2006,138608
North Carolina,Orange County,2017,138812
North Carolina,Randolph County,2015,139014
North Carolina,Alamance County,2009,139433
North Carolina,Rowan County,2016,139587
North Carolina,Randolph County,2016,140062
North Carolina,Catawba County,2007,140168
North Carolina,Davidson County,2007,140216
North Carolina,Orange County,2018,140985
North Carolina,Randolph County,2017,141110
North Carolina,Rowan County,2017,141302
North Carolina,Catawba County,2008,141729
North Carolina,Harnett County,2023,141792
North Carolina,Iredell County,2010,142041
North Carolina,Randolph County,2018,142157
North Carolina,Alamance County,2010,142314
North Carolina,Davidson County,2008,142398
North Carolina,Rowan County,2018,143017
North Carolina,Orange County,2019,143158
North Carolina,Randolph County,2019,143205
North Carolina,Catawba County,2009,143289
North Carolina,Orange County,2020,143732
North Carolina,Randolph County,2020,144407
North Carolina,Davidson County,2009,144581
North Carolina,Rowan County,2019,144731
North Carolina,Catawba County,2010,144849
North Carolina,Brunswick County,2021,144869
North Carolina,Randolph County,2021,145129
North Carolina,Alamance County,2011,145196
North Carolina,Harnett County,2024,146096
North Carolina,Johnston County,2011,146133
North Carolina,Randolph County,2022,146174
North Carolina,Catawba County,2011,146409
North Carolina,Iredell County,2011,146582
North Carolina,Davidson County,2010,146763
North Carolina,Rowan County,2020,146909
North Carolina,Pitt County,2005,147026
North Carolina,Randolph County,2023,147641
North Carolina,Rowan County,2021,147687
North Carolina,Catawba County,2012,147970
North Carolina,Alamance County,2012,148077
North Carolina,Union County,2005,148252
North Carolina,Randolph County,2024,148389
North Carolina,Orange County,2021,148798
North Carolina,Pitt County,2006,148800
North Carolina,Davidson County,2011,148946
North Carolina,Rowan County,2022,149514
North Carolina,Catawba County,2013,149530
North Carolina,Pitt County,2007,150575
North Carolina,Orange County,2022,150744
North Carolina,Alamance County,2013,150959
North Carolina,Catawba County,2014,151090
North Carolina,Iredell County,2012,151124
North Carolina,Davidson County,2012,151128
North Carolina,Rowan County,2023,151883
North Carolina,Orange County,2023,152239
North Carolina,Pitt County,2008,152349
North Carolina,Catawba County,2015,152651
North Carolina,Brunswick County,2022,152836
North Carolina,Orange County,2024,152877
North Carolina,Davidson County,2013,153311
North Carolina,Rowan County,2024,153384
North Carolina,Alamance County,2014,153840
North Carolina,Pitt County,2009,154124
North Carolina,Johnston County,2012,154145
North Carolina,Catawba County,2016,154211
North Carolina,Union County,2006,154293
North Carolina,Davidson County,2014,155493
North Carolina,Iredell County,2013,155666
North Carolina,Catawba County,2017,155771
North Carolina,Pitt County,2010,155898
North Carolina,Alamance County,2015,156722
North Carolina,Catawba County,2018,157332
North Carolina,Pitt County,2011,157673
North Carolina,Davidson County,2015,157676
North Carolina,Catawba County,2019,158892
North Carolina,Pitt County,2012,159447
North Carolina,Alamance County,2016,159603
North Carolina,Brunswick County,2023,159855
North Carolina,Davidson County,2016,159858
North Carolina,Iredell County,2014,160208
North Carolina,Union County,2007,160335
North Carolina,Catawba County,2020,160889
North Carolina,New Hanover County,2005,160991
North Carolina,Cabarrus County,2005,161049
North Carolina,Pitt County,2013,161222
North Carolina,Catawba County,2021,161682
North Carolina,Davidson County,2017,162041
North Carolina,Johnston County,2013,162157
North Carolina,Alamance County,2017,162485
North Carolina,Pitt County,2014,162996
North Carolina,Catawba County,2022,163286
North Carolina,Davidson County,2018,164223
North Carolina,Iredell County,2015,164750
North Carolina,Pitt County,2015,164771
North Carolina,Catawba County,2023,164955
North Carolina,New Hanover County,2006,165358
North Carolina,Alamance County,2018,165366
North Carolina,Cabarrus County,2006,165466
North Carolina,Union County,2008,166376
North Carolina,Davidson County,2019,166406
North Carolina,Pitt County,2016,166545
North Carolina,Catawba County,2024,167054
North Carolina,Brunswick County,2024,167112
North Carolina,Alamance County,2019,168248
North Carolina,Onslow County,2005,168284
North Carolina,Pitt County,2017,168320
North Carolina,Davidson County,2020,169050
North Carolina,Iredell County,2016,169292
North Carolina,New Hanover County,2007,169725
North Carolina,Cabarrus County,2007,169882
North Carolina,Pitt County,2018,170094
North Carolina,Johnston County,2014,170168
North Carolina,Davidson County,2021,170580
North Carolina,Onslow County,2006,170614
North Carolina,Alamance County,2020,171620
North Carolina,Pitt County,2019,171869
North Carolina,Union County,2009,172418
North Carolina,Davidson County,2022,172443
North Carolina,Onslow County,2007,172945
North Carolina,Alamance County,2021,173642
North Carolina,Pitt County,2020,173643
North Carolina,Iredell County,2017,173834
North Carolina,New Hanover County,2008,174092
North Carolina,Cabarrus County,2008,174299
North Carolina,Davidson County,2023,174887
North Carolina,Onslow County,2008,175276
North Carolina,Pitt County,2021,175491
North Carolina,Alamance County,2022,176544
North Carolina,Pitt County,2022,177090
North Carolina,Onslow County,2009,177606
North Carolina,Davidson County,2024,177809
North Carolina,Gaston County,2005,177907
North Carolina,Johnston County,2015,178180
North Carolina,Iredell County,2018,178376
North Carolina,New Hanover County,2009,178458
North Carolina,Union County,2010,178459
North Carolina,Cabarrus County,2009,178716
North Carolina,Pitt County,2023,178956
North Carolina,Alamance County,2023,179617
North Carolina,Onslow County,2010,179937
North Carolina,Pitt County,2024,180783
North Carolina,Gaston County,2006,181258
North Carolina,Onslow County,2011,182268
North Carolina,New Hanover County,2010,182825
North Carolina,Iredell County,2019,182918
North Carolina,Alamance County,2024,183040
North Carolina,Cabarrus County,2010,183133
North Carolina,Union County,2011,184501
North Carolina,Onslow County,2012,184599
North Carolina,Gaston County,2007,184610
North Carolina,Johnston County,2016,186192
North Carolina,Onslow County,2013,186929
North Carolina,New Hanover County,2011,187192
North Carolina,Cabarrus County,2011,187549
North Carolina,Iredell County,2020,187696
North Carolina,Gaston County,2008,187961
North Carolina,Onslow County,2014,189260
North Carolina,Union County,2012,190542
North Carolina,Gaston County,2009,191312
North Carolina,New Hanover County,2012,191559
North Carolina,Onslow County,2015,191591
North Carolina,Cabarrus County,2012,191966
North Carolina,Iredell County,2021,192222
North Carolina,Onslow County,2016,193921
North Carolina,Johnston County,2017,194204
North Carolina,Gaston County,2010,194664
North Carolina,New Hanover County,2013,195926
North Carolina,Iredell County,2022,196129
North Carolina,Onslow County,2017,196252
North Carolina,Cabarrus County,2013,196383
North Carolina,Union County,2013,196584
North Carolina,Gaston County,2011,198015
North Carolina,Onslow County,2018,198583
North Carolina,New Hanover County,2014,200293
North Carolina,Iredell County,2023,200311
North Carolina,Cabarrus County,2014,200799
North Carolina,Onslow County,2019,200913
North Carolina,Gaston County,2012,201367
North Carolina,Johnston County,2018,202216
North Carolina,Union County,2014,202625
North Carolina,Onslow County,2021,203563
North Carolina,New Hanover County,2015,204660
North Carolina,Gaston County,2013,204718
North Carolina,Onslow County,2020,205111
North Carolina,Cabarrus County,2015,205216
North Carolina,Iredell County,2024,206361
North Carolina,Onslow County,2022,206718
North Carolina,Gaston County,2014,208069
North Carolina,Union County,2015,208667
North Carolina,New Hanover County,2016,209027
North Carolina,Cabarrus County,2016,209633
North Carolina,Johnston County,2019,210227
North Carolina,Onslow County,2023,211184
North Carolina,Gaston County,2015,211421
North Carolina,Onslow County,2024,212954
North Carolina,New Hanover County,2017,213394
North Carolina,Cabarrus County,2017,214049
North Carolina,Union County,2016,214708
North Carolina,Gaston County,2016,214772
North Carolina,Johnston County,2020,217426
North Carolina,New Hanover County,2018,217761
North Carolina,Gaston County,2017,218124
North Carolina,Cabarrus County,2018,218466
North Carolina,Union County,2017,220750
North Carolina,Gaston County,2018,221475
North Carolina,New Hanover County,2019,222127
North Carolina,Cabarrus County,2019,222883
North Carolina,Gaston County,2019,224826
North Carolina,New Hanover County,2020,226442
North Carolina,Union County,2018,226791
North Carolina,Johnston County,2021,226976
North Carolina,Cabarrus County,2020,227235
North Carolina,Gaston County,2020,228625
North Carolina,New Hanover County,2021,230167
North Carolina,Gaston County,2021,231409
North Carolina,Cabarrus County,2021,231821
North Carolina,Union County,2019,232833
North Carolina,Buncombe County,2005,233870
North Carolina,Gaston County,2022,234208
North Carolina,Johnston County,2022,234762
North Carolina,Cabarrus County,2022,236078
North Carolina,New Hanover County,2022,236147
North Carolina,Buncombe County,2006,236252
North Carolina,Gaston County,2023,238153
North Carolina,Buncombe County,2007,238634
North Carolina,Union County,2020,239688
North Carolina,New Hanover County,2023,240054
North Carolina,Cabarrus County,2023,240608
North Carolina,Buncombe County,2008,241016
North Carolina,Gaston County,2024,242010
North Carolina,Johnston County,2023,242358
North Carolina,Durham County,2005,242834
North Carolina,New Hanover County,2024,243333
North Carolina,Buncombe County,2009,243397
North Carolina,Union County,2021,244491
North Carolina,Cabarrus County,2024,244925
North Carolina,Buncombe County,2010,245779
North Carolina,Durham County,2006,248100
North Carolina,Buncombe County,2011,248161
North Carolina,Union County,2022,249714
North Carolina,Johnston County,2024,249794
North Carolina,Buncombe County,2012,250542
North Carolina,Buncombe County,2013,252924
North Carolina,Durham County,2007,253366
North Carolina,Buncombe County,2014,255306
North Carolina,Union County,2023,257510
North Carolina,Buncombe County,2015,257687
North Carolina,Durham County,2008,258631
North Carolina,Buncombe County,2016,260069
North Carolina,Buncombe County,2017,262451
North Carolina,Union County,2024,263386
North Carolina,Durham County,2009,263897
North Carolina,Buncombe County,2018,264833
North Carolina,Buncombe County,2019,267214
North Carolina,Durham County,2010,269163
North Carolina,Buncombe County,2020,269704
North Carolina,Buncombe County,2021,271984
North Carolina,Buncombe County,2022,274112
North Carolina,Durham County,2011,274429
North Carolina,Buncombe County,2023,276789
North Carolina,Buncombe County,2024,279210
North Carolina,Durham County,2012,279695
North Carolina,Durham County,2013,284960
North Carolina,Durham County,2014,290226
North Carolina,Durham County,2015,295492
North Carolina,Durham County,2016,300758
North Carolina,Durham County,2017,306024
North Carolina,Durham County,2018,311289
North Carolina,Durham County,2019,316555
North Carolina,Durham County,2020,322505
North Carolina,Forsyth County,2005,323506
North Carolina,Durham County,2021,326826
North Carolina,Forsyth County,2006,327416
North Carolina,Forsyth County,2007,331326
North Carolina,Durham County,2022,331568
North Carolina,Forsyth County,2008,335236
North Carolina,Cumberland County,2005,336406
North Carolina,Cumberland County,2006,336532
North Carolina,Cumberland County,2007,336658
North Carolina,Cumberland County,2008,336784
North Carolina,Cumberland County,2009,336910
North Carolina,Cumberland County,2010,337035
North Carolina,Cumberland County,2011,337161
North Carolina,Cumberland County,2020,337195
North Carolina,Durham County,2023,337238
North Carolina,Cumberland County,2012,337287
North Carolina,Cumberland County,2013,337413
North Carolina,Cumberland County,2014,337539
North Carolina,Cumberland County,2015,337664
North Carolina,Cumberland County,2016,337790
North Carolina,Cumberland County,2017,337916
North Carolina,Cumberland County,2018,338042
North Carolina,Cumberland County,2019,338168
North Carolina,Cumberland County,2023,338411
North Carolina,Cumberland County,2024,338430
North Carolina,Cumberland County,2022,339068
North Carolina,Forsyth County,2009,339146
North Carolina,Cumberland County,2021,339623
North Carolina,Forsyth County,2010,343056
North Carolina,Durham County,2024,343628
North Carolina,Forsyth County,2011,346966
North Carolina,Forsyth County,2012,350876
North Carolina,Forsyth County,2013,354786
North Carolina,Forsyth County,2014,358696
North Carolina,Forsyth County,2015,362606
North Carolina,Forsyth County,2016,366516
North Carolina,Forsyth County,2017,370426
North Carolina,Forsyth County,2018,374336
North Carolina,Forsyth County,2019,378246
North Carolina,Forsyth County,2020,382634
North Carolina,Forsyth County,2021,385753
North Carolina,Forsyth County,2022,389519
North Carolina,Forsyth County,2023,393835
North Carolina,Forsyth County,2024,398143
North Carolina,Guilford County,2005,461342
North Carolina,Guilford County,2006,466436
North Carolina,Guilford County,2007,471530
North Carolina,Guilford County,2008,476624
North Carolina,Guilford County,2009,481718
North Carolina,Guilford County,2010,486812
North Carolina,Guilford County,2011,491906
North Carolina,Guilford County,2012,497000
North Carolina,Guilford County,2013,502094
North Carolina,Guilford County,2014,507188
North Carolina,Guilford County,2015,512282
North Carolina,Guilford County,2016,517376
North Carolina,Guilford County,2017,522470
North Carolina,Guilford County,2018,527564
North Carolina,Guilford County,2019,532658
North Carolina,Guilford County,2020,538761
North Carolina,Guilford County,2021,542050
North Carolina,Guilford County,2022,547195
North Carolina,Guilford County,2023,552880
North Carolina,Guilford County,2024,558816
North Carolina,Wake County,2005,746397
North Carolina,Mecklenburg County,2005,761992
North Carolina,Wake County,2006,771824
North Carolina,Mecklenburg County,2006,785091
North Carolina,Wake County,2007,797251
North Carolina,Mecklenburg County,2007,808191
North Carolina,Wake County,2008,822677
North Carolina,Mecklenburg County,2008,831290
North Carolina,Wake County,2009,848104
North Carolina,Mecklenburg County,2009,854389
North Carolina,Wake County,2010,873531
North Carolina,Mecklenburg County,2010,877489
North Carolina,Wake County,2011,898958
North Carolina,Mecklenburg County,2011,900588
North Carolina,Mecklenburg County,2012,923687
North Carolina,Wake County,2012,924385
North Carolina,Mecklenburg County,2013,946787
North Carolina,Wake County,2013,949811
North Carolina,Mecklenburg County,2014,969886
North Carolina,Wake County,2014,975238
North Carolina,Mecklenburg County,2015,992985
North Carolina,Wake County,2015,1000665
North Carolina,Mecklenburg County,2016,1016084
North Carolina,Wake County,2016,1026092
North Carolina,Mecklenburg County,2017,1039184
North Carolina,Wake County,2017,1051519
North Carolina,Mecklenburg County,2018,1062283
North Carolina,Wake County,2018,1076945
North Carolina,Mecklenburg County,2019,1085382
North Carolina,Wake County,2019,1102372
North Carolina,Mecklenburg County,2020,1116263
North Carolina,Mecklenburg County,2021,1125279
North Carolina,Wake County,2020,1130694
North Carolina,Mecklenburg County,2022,1149349
North Carolina,Wake County,2021,1152626
North Carolina,Wake County,2022,1174107
North Carolina,Mecklenburg County,2023,1176228
North Carolina,Wake County,2023,1203394
North Carolina,Mecklenburg County,2024,1206285
North Carolina,Wake County,2024,1232444
