State,County,Year,Nominal_Income,Real_Income
North Carolina,Alamance,2005,60284.11,60284.11
North Carolina,Alamance,2006,61065.72,60085.38
North Carolina,Alamance,2007,62131.35,60167.97
North Carolina,Alamance,2008,63522.45,60558.28
North Carolina,Alamance,2009,64179.29,60247.36
North Carolina,Alamance,2010,64674.28,59796.17
North Carolina,Alamance,2011,64580.18,58821.83
North Carolina,Alamance,2012,65363.4,58663.42
North Carolina,Alamance,2013,65655.49,58075.15
North Carolina,Alamance,2014,66933.3,58363.13
North Carolina,Alamance,2015,68225.84,58655.7
North Carolina,Alamance,2016,68812.33,58341.56
North Carolina,Alamance,2017,69995.31,58534.81
North Carolina,Alamance,2018,70466.03,58135.24
North Carolina,Alamance,2019,72183.31,58761.05
North Carolina,Alamance,2020,73687.91,59199.59
North Carolina,Alamance,2021,74442.86,59032.32
North Carolina,Alamance,2022,76409.44,59817.86
North Carolina,Alamance,2023,77845.63,60173.6
North Carolina,Alamance,2024,78528.05,59945.08
North Carolina,Mecklenburg,2005,51346.95,51346.95
North Carolina,Mecklenburg,2006,52645.5,51800.34
North Carolina,Mecklenburg,2007,54262.43,52547.72
North Carolina,Mecklenburg,2008,55601.48,53006.93
North Carolina,Mecklenburg,2009,56596.3,53128.94
North Carolina,Mecklenburg,2010,57339.48,53014.6
North Carolina,Mecklenburg,2011,58440.32,53229.44
North Carolina,Mecklenburg,2012,59362.13,53277.3
North Carolina,Mecklenburg,2013,60225.64,53272.21
North Carolina,Mecklenburg,2014,61368.03,53510.44
North Carolina,Mecklenburg,2015,61918.68,53233.25
North Carolina,Mecklenburg,2016,62366.17,52876.27
North Carolina,Mecklenburg,2017,63118.22,52783.72
North Carolina,Mecklenburg,2018,63403.21,52308.34
North Carolina,Mecklenburg,2019,64027.31,52121.63
North Carolina,Mecklenburg,2020,65080.68,52284.69
North Carolina,Mecklenburg,2021,65642.89,52054.04
North Carolina,Mecklenburg,2022,66079.36,51730.85
North Carolina,Mecklenburg,2023,67342.47,52054.8
North Carolina,Mecklenburg,2024,68333.36,52162.87
North Carolina,Durham,2005,60758.56,60758.56
North Carolina,Durham,2006,61042.05,60062.09
North Carolina,Durham,2007,62374.12,60403.07
North Carolina,Durham,2008,62909.96,59974.37
North Carolina,Durham,2009,64461.8,60512.56
North Carolina,Durham,2010,65449.27,60512.71
North Carolina,Durham,2011,65875.83,60001.95
North Carolina,Durham,2012,67372.47,60466.55
North Carolina,Durham,2013,67798.46,59970.7
North Carolina,Durham,2014,69347.42,60468.15
North Carolina,Durham,2015,70055.16,60228.42
North Carolina,Durham,2016,71836.82,60905.83
North Carolina,Durham,2017,73193.82,61209.62
North Carolina,Durham,2018,74458.6,61429.15
North Carolina,Durham,2019,75809.11,61712.64
North Carolina,Durham,2020,76511.82,61468.27
North Carolina,Durham,2021,78180.88,61996.52
North Carolina,Durham,2022,79772.58,62450.72
North Carolina,Durham,2023,80215.45,62005.43
North Carolina,Durham,2024,81311.79,62070.07
North Carolina,Guilford,2005,44313.93,44313.93
North Carolina,Guilford,2006,45524.07,44793.23
North Carolina,Guilford,2007,46501.72,45032.25
North Carolina,Guilford,2008,47259.13,45053.86
North Carolina,Guilford,2009,48011.3,45069.9
North Carolina,Guilford,2010,48793.66,45113.36
North Carolina,Guilford,2011,49971.28,45515.55
North Carolina,Guilford,2012,51884.47,46566.13
North Carolina,Guilford,2013,52367.0,46320.9
North Carolina,Guilford,2014,54076.24,47152.3
North Carolina,Guilford,2015,55575.16,47779.55
North Carolina,Guilford,2016,56341.83,47768.62
North Carolina,Guilford,2017,56279.87,47065.03
North Carolina,Guilford,2018,57264.74,47244.03
North Carolina,Guilford,2019,59063.81,48081.08
North Carolina,Guilford,2020,60387.28,48514.09
North Carolina,Guilford,2021,60769.87,48189.8
North Carolina,Guilford,2022,62376.56,48832.08
North Carolina,Guilford,2023,63717.15,49252.48
North Carolina,Guilford,2024,64546.77,49272.34
North Carolina,Wake,2005,54548.74,54548.74
North Carolina,Wake,2006,55243.49,54356.62
North Carolina,Wake,2007,56934.03,55134.89
North Carolina,Wake,2008,57500.09,54816.94
North Carolina,Wake,2009,57957.26,54406.52
North Carolina,Wake,2010,59762.04,55254.44
North Carolina,Wake,2011,61343.13,55873.42
North Carolina,Wake,2012,62197.1,55821.68
North Carolina,Wake,2013,63195.01,55898.75
North Carolina,Wake,2014,64779.92,56485.47
North Carolina,Wake,2015,65553.08,56357.85
North Carolina,Wake,2016,66903.51,56723.19
North Carolina,Wake,2017,67973.88,56844.35
North Carolina,Wake,2018,69059.85,56975.13
North Carolina,Wake,2019,69396.52,56492.45
North Carolina,Wake,2020,69926.82,56177.99
North Carolina,Wake,2021,70800.83,56144.23
North Carolina,Wake,2022,72783.18,56979.0
North Carolina,Wake,2023,74043.67,57234.73
North Carolina,Wake,2024,74825.02,57118.34
Virginia,Fairfax,2005,63168.41,63168.41
Virginia,Fairfax,2006,64453.06,63418.34
Virginia,Fairfax,2007,65139.64,63081.2
Virginia,Fairfax,2008,65534.73,62476.66
Virginia,Fairfax,2009,65920.84,61882.21
Virginia,Fairfax,2010,66833.02,61792.09
Virginia,Fairfax,2011,67799.38,61753.99
Virginia,Fairfax,2012,68511.58,61488.9
Virginia,Fairfax,2013,69055.7,61082.79
Virginia,Fairfax,2014,70309.0,61306.61
Virginia,Fairfax,2015,70838.13,60901.56
Virginia,Fairfax,2016,72075.97,61108.59
Virginia,Fairfax,2017,72931.33,60990.11
Virginia,Fairfax,2018,73841.15,60919.75
Virginia,Fairfax,2019,74506.13,60651.95
Virginia,Fairfax,2020,76305.6,61302.6
Virginia,Fairfax,2021,77813.68,61705.34
Virginia,Fairfax,2022,79061.1,61893.73
Virginia,Fairfax,2023,80158.7,61961.57
Virginia,Fairfax,2024,81717.42,62379.71
Virginia,Henrico,2005,61295.32,61295.32
Virginia,Henrico,2006,62176.98,61178.8
Virginia,Henrico,2007,63702.8,61689.77
Virginia,Henrico,2008,65512.06,62455.05
Virginia,Henrico,2009,66738.69,62649.96
Virginia,Henrico,2010,69314.6,64086.49
Virginia,Henrico,2011,69683.34,63469.96
Virginia,Henrico,2012,70858.13,63594.92
Virginia,Henrico,2013,72010.03,63696.02
Virginia,Henrico,2014,73146.71,63780.98
Virginia,Henrico,2015,72995.7,62756.48
Virginia,Henrico,2016,73577.55,62381.68
Virginia,Henrico,2017,75311.76,62980.79
Virginia,Henrico,2018,76177.16,62846.98
Virginia,Henrico,2019,77364.71,62978.98
Virginia,Henrico,2020,78292.89,62899.15
Virginia,Henrico,2021,79326.53,62905.01
Virginia,Henrico,2022,80646.56,63134.93
Virginia,Henrico,2023,81358.02,62888.62
Virginia,Henrico,2024,82169.07,62724.48
Virginia,Loudoun,2005,71042.01,71042.01
Virginia,Loudoun,2006,72054.11,70897.36
Virginia,Loudoun,2007,73048.42,70740.06
Virginia,Loudoun,2008,74000.19,70547.1
Virginia,Loudoun,2009,75384.84,70766.4
Virginia,Loudoun,2010,76232.49,70482.59
Virginia,Loudoun,2011,77918.93,70971.22
Virginia,Loudoun,2012,78524.61,70475.56
Virginia,Loudoun,2013,79407.4,70239.32
Virginia,Loudoun,2014,80719.36,70384.02
Virginia,Loudoun,2015,81347.39,69936.67
Virginia,Loudoun,2016,82612.54,70041.87
Virginia,Loudoun,2017,83784.02,70065.86
Virginia,Loudoun,2018,84542.13,69748.17
Virginia,Loudoun,2019,84689.83,68942.02
Virginia,Loudoun,2020,85745.45,68886.41
Virginia,Loudoun,2021,86637.29,68702.36
Virginia,Loudoun,2022,87380.08,68406.33
Virginia,Loudoun,2023,87943.2,67978.88
Virginia,Loudoun,2024,89721.75,68489.89
Virginia,Chesterfield,2005,63404.36,63404.36
Virginia,Chesterfield,2006,64433.21,63398.81
Virginia,Chesterfield,2007,65593.57,63520.79
Virginia,Chesterfield,2008,65687.96,62622.74
Virginia,Chesterfield,2009,65120.65,61131.04
Virginia,Chesterfield,2010,65349.1,60420.09
Virginia,Chesterfield,2011,65969.68,60087.44
Virginia,Chesterfield,2012,66967.17,60102.8
Virginia,Chesterfield,2013,68158.22,60288.93
Virginia,Chesterfield,2014,68917.54,60093.31
Virginia,Chesterfield,2015,69680.22,59906.07
Virginia,Chesterfield,2016,70752.61,59986.59
Virginia,Chesterfield,2017,71448.87,59750.38
Virginia,Chesterfield,2018,72479.77,59796.6
Virginia,Chesterfield,2019,73876.72,60139.57
Virginia,Chesterfield,2020,74922.72,60191.61
Virginia,Chesterfield,2021,75733.38,60055.69
Virginia,Chesterfield,2022,76347.1,59769.05
Virginia,Chesterfield,2023,77959.14,60261.34
Virginia,Chesterfield,2024,79482.65,60673.78
Virginia,Roanoke,2005,55399.14,55399.14
Virginia,Roanoke,2006,57051.79,56135.89
Virginia,Roanoke,2007,58549.54,56699.35
Virginia,Roanoke,2008,59888.09,57093.51
Virginia,Roanoke,2009,61418.38,57655.59
Virginia,Roanoke,2010,63157.8,58394.07
Virginia,Roanoke,2011,64676.56,58909.62
Virginia,Roanoke,2012,64577.7,57958.26
Virginia,Roanoke,2013,65965.81,58349.65
Virginia,Roanoke,2014,66575.74,58051.36
Virginia,Roanoke,2015,67660.92,58170.02
Virginia,Roanoke,2016,68210.4,57831.22
Virginia,Roanoke,2017,69746.88,58327.06
Virginia,Roanoke,2018,71636.17,59100.62
Virginia,Roanoke,2019,73198.08,59587.13
Virginia,Roanoke,2020,74114.26,59542.11
Virginia,Roanoke,2021,73223.02,58065.0
Virginia,Roanoke,2022,74028.72,57954.09
Virginia,Roanoke,2023,74741.15,57773.88
Virginia,Roanoke,2024,76771.16,58603.94
South Carolina,Charleston,2005,62852.81,62852.81
South Carolina,Charleston,2006,64964.72,63921.79
South Carolina,Charleston,2007,66035.46,63948.71
South Carolina,Charleston,2008,66851.61,63732.09
South Carolina,Charleston,2009,68250.59,64069.23
South Carolina,Charleston,2010,70169.12,64876.56
South Carolina,Charleston,2011,70742.83,64434.98
South Carolina,Charleston,2012,71159.94,63865.79
South Carolina,Charleston,2013,71974.9,63664.95
South Carolina,Charleston,2014,72042.36,62818.03
South Carolina,Charleston,2015,72766.75,62559.65
South Carolina,Charleston,2016,73407.59,62237.58
South Carolina,Charleston,2017,74980.65,62703.89
South Carolina,Charleston,2018,74920.49,61810.22
South Carolina,Charleston,2019,75371.98,61356.8
South Carolina,Charleston,2020,75777.62,60878.43
South Carolina,Charleston,2021,76809.45,60909.0
South Carolina,Charleston,2022,77926.88,61005.8
South Carolina,Charleston,2023,78059.83,60339.17
South Carolina,Charleston,2024,78320.47,59786.62
South Carolina,Greenville,2005,50958.35,50958.35
South Carolina,Greenville,2006,52278.98,51439.7
South Carolina,Greenville,2007,53039.43,51363.36
South Carolina,Greenville,2008,55132.87,52560.19
South Carolina,Greenville,2009,56079.26,52643.57
South Carolina,Greenville,2010,56556.73,52290.89
South Carolina,Greenville,2011,56746.14,51686.32
South Carolina,Greenville,2012,58798.93,52771.83
South Carolina,Greenville,2013,60471.01,53489.25
South Carolina,Greenville,2014,61353.92,53498.14
South Carolina,Greenville,2015,62912.34,54087.53
South Carolina,Greenville,2016,63853.44,54137.23
South Carolina,Greenville,2017,65328.53,54632.13
South Carolina,Greenville,2018,66373.43,54758.8
South Carolina,Greenville,2019,67383.82,54854.01
South Carolina,Greenville,2020,69167.21,55567.74
South Carolina,Greenville,2021,70370.01,55802.6
South Carolina,Greenville,2022,71376.78,55877.99
South Carolina,Greenville,2023,73067.24,56479.97
South Carolina,Greenville,2024,74558.06,56914.55
South Carolina,Richland,2005,63687.99,63687.99
South Carolina,Richland,2006,65372.84,64323.35
South Carolina,Richland,2007,66385.29,64287.49
South Carolina,Richland,2008,67672.56,64514.73
South Carolina,Richland,2009,69479.97,65223.29
South Carolina,Richland,2010,69932.76,64658.03
South Carolina,Richland,2011,70710.35,64405.4
South Carolina,Richland,2012,71323.94,64012.98
South Carolina,Richland,2013,72848.42,64437.62
South Carolina,Richland,2014,73169.56,63800.9
South Carolina,Richland,2015,73984.13,63606.27
South Carolina,Richland,2016,75042.8,63623.97
South Carolina,Richland,2017,77156.89,64523.81
South Carolina,Richland,2018,78038.26,64382.41
South Carolina,Richland,2019,78994.05,64305.35
South Carolina,Richland,2020,80439.11,64623.39
South Carolina,Richland,2021,81815.93,64879.08
South Carolina,Richland,2022,82712.21,64752.04
South Carolina,Richland,2023,84381.77,65225.94
South Carolina,Richland,2024,85726.68,65440.21
South Carolina,Spartanburg,2005,68178.24,68178.24
South Carolina,Spartanburg,2006,70162.76,69036.38
South Carolina,Spartanburg,2007,70823.52,68585.47
South Carolina,Spartanburg,2008,71047.22,67731.92
South Carolina,Spartanburg,2009,71993.5,67582.83
South Carolina,Spartanburg,2010,73441.87,67902.46
South Carolina,Spartanburg,2011,73885.48,67297.42
South Carolina,Spartanburg,2012,75057.17,67363.54
South Carolina,Spartanburg,2013,75709.67,66968.52
South Carolina,Spartanburg,2014,77658.68,67715.23
South Carolina,Spartanburg,2015,78539.54,67522.68
South Carolina,Spartanburg,2016,79687.1,67561.58
South Carolina,Spartanburg,2017,81813.54,68418.01
South Carolina,Spartanburg,2018,82971.45,68452.35
South Carolina,Spartanburg,2019,82948.33,67524.35
South Carolina,Spartanburg,2020,83425.41,67022.53
South Carolina,Spartanburg,2021,84060.17,66658.73
South Carolina,Spartanburg,2022,84055.63,65803.75
South Carolina,Spartanburg,2023,85538.57,66120.13
South Carolina,Spartanburg,2024,87007.89,66418.24
South Carolina,Horry,2005,47744.14,47744.14
South Carolina,Horry,2006,48042.83,47271.56
South Carolina,Horry,2007,49118.62,47566.45
South Carolina,Horry,2008,50225.2,47881.53
South Carolina,Horry,2009,50381.03,47294.45
South Carolina,Horry,2010,50772.43,46942.88
South Carolina,Horry,2011,52373.76,47703.81
South Carolina,Horry,2012,53766.64,48255.37
South Carolina,Horry,2013,55108.54,48745.92
South Carolina,Horry,2014,55620.41,48498.75
South Carolina,Horry,2015,57863.79,49747.15
South Carolina,Horry,2016,59308.02,50283.46
South Carolina,Horry,2017,60354.15,50472.22
South Carolina,Horry,2018,61396.73,50652.97
South Carolina,Horry,2019,63141.04,51400.16
South Carolina,Horry,2020,64084.0,51483.97
South Carolina,Horry,2021,64763.17,51356.44
South Carolina,Horry,2022,66327.75,51925.31
South Carolina,Horry,2023,67591.8,52247.53
South Carolina,Horry,2024,68664.47,52415.63
Tennessee,Davidson,2005,69540.81,69540.81
Tennessee,Davidson,2006,70784.79,69648.42
Tennessee,Davidson,2007,71700.94,69435.16
Tennessee,Davidson,2008,71499.94,68163.52
Tennessee,Davidson,2009,72743.16,68286.56
Tennessee,Davidson,2010,74220.51,68622.37
Tennessee,Davidson,2011,75644.2,68899.32
Tennessee,Davidson,2012,76127.25,68323.94
Tennessee,Davidson,2013,76994.52,68105.02
Tennessee,Davidson,2014,78173.53,68164.16
Tennessee,Davidson,2015,80090.88,68856.41
Tennessee,Davidson,2016,81839.22,69386.22
Tennessee,Davidson,2017,82789.27,69233.98
Tennessee,Davidson,2018,83523.91,68908.13
Tennessee,Davidson,2019,84546.54,68825.38
Tennessee,Davidson,2020,86402.11,69413.96
Tennessee,Davidson,2021,87271.64,69205.39
Tennessee,Davidson,2022,88084.05,68957.44
Tennessee,Davidson,2023,89125.55,68892.82
Tennessee,Davidson,2024,90102.86,68780.81
Tennessee,Knox,2005,66339.47,66339.47
Tennessee,Knox,2006,67739.93,66652.44
Tennessee,Knox,2007,68431.81,66269.34
Tennessee,Knox,2008,69971.9,66706.78
Tennessee,Knox,2009,71407.79,67033.0
Tennessee,Knox,2010,73072.06,67560.54
Tennessee,Knox,2011,73903.34,67313.68
Tennessee,Knox,2012,75197.62,67489.6
Tennessee,Knox,2013,76896.16,68018.02
Tennessee,Knox,2014,78179.59,68169.45
Tennessee,Knox,2015,79112.83,68015.56
Tennessee,Knox,2016,80211.36,68006.06
Tennessee,Knox,2017,81267.9,67961.71
Tennessee,Knox,2018,81189.33,66982.08
Tennessee,Knox,2019,82757.67,67369.14
Tennessee,Knox,2020,83657.68,67209.13
Tennessee,Knox,2021,84603.09,67089.26
Tennessee,Knox,2022,84742.17,66341.21
Tennessee,Knox,2023,85626.08,66187.78
Tennessee,Knox,2024,87038.01,66441.23
Tennessee,Shelby,2005,68139.34,68139.34
Tennessee,Shelby,2006,68066.35,66973.62
Tennessee,Shelby,2007,69794.87,67589.32
Tennessee,Shelby,2008,71131.67,67812.43
Tennessee,Shelby,2009,73066.66,68590.24
Tennessee,Shelby,2010,74197.64,68601.22
Tennessee,Shelby,2011,74874.58,68198.32
Tennessee,Shelby,2012,76231.72,68417.7
Tennessee,Shelby,2013,76905.35,68026.15
Tennessee,Shelby,2014,77556.7,67626.31
Tennessee,Shelby,2015,78442.51,67439.26
Tennessee,Shelby,2016,79994.73,67822.39
Tennessee,Shelby,2017,80321.83,67170.54
Tennessee,Shelby,2018,81187.53,66980.59
Tennessee,Shelby,2019,81553.75,66389.09
Tennessee,Shelby,2020,81809.94,65724.69
Tennessee,Shelby,2021,82828.41,65681.96
Tennessee,Shelby,2022,84177.98,65899.53
Tennessee,Shelby,2023,85563.0,66139.02
Tennessee,Shelby,2024,86490.26,66023.1
Tennessee,Hamilton,2005,46222.2,46222.2
Tennessee,Hamilton,2006,46931.09,46177.66
Tennessee,Hamilton,2007,47497.13,45996.2
Tennessee,Hamilton,2008,47828.21,45596.39
Tennessee,Hamilton,2009,48436.12,45468.69
Tennessee,Hamilton,2010,49574.67,45835.46
Tennessee,Hamilton,2011,50731.67,46208.14
Tennessee,Hamilton,2012,51469.7,46193.87
Tennessee,Hamilton,2013,52262.71,46228.65
Tennessee,Hamilton,2014,53057.36,46263.88
Tennessee,Hamilton,2015,53783.04,46238.81
Tennessee,Hamilton,2016,54323.71,46057.59
Tennessee,Hamilton,2017,56052.12,46874.57
Tennessee,Hamilton,2018,57477.95,47419.93
Tennessee,Hamilton,2019,59005.35,48033.49
Tennessee,Hamilton,2020,59923.59,48141.57
Tennessee,Hamilton,2021,60658.45,48101.44
Tennessee,Hamilton,2022,61214.28,47922.18
Tennessee,Hamilton,2023,62174.89,48060.33
Tennessee,Hamilton,2024,63762.09,48673.35
Tennessee,Rutherford,2005,57636.36,57636.36
Tennessee,Rutherford,2006,58739.62,57796.62
Tennessee,Rutherford,2007,59727.26,57839.85
Tennessee,Rutherford,2008,60818.02,57980.05
Tennessee,Rutherford,2009,61658.2,57880.72
Tennessee,Rutherford,2010,63040.28,58285.42
Tennessee,Rutherford,2011,63771.88,58085.6
Tennessee,Rutherford,2012,64716.99,58083.27
Tennessee,Rutherford,2013,65654.23,58074.04
Tennessee,Rutherford,2014,66917.29,58349.17
Tennessee,Rutherford,2015,68408.75,58812.95
Tennessee,Rutherford,2016,69841.93,59214.49
Tennessee,Rutherford,2017,70817.67,59222.52
Tennessee,Rutherford,2018,72049.98,59442.02
Tennessee,Rutherford,2019,73013.12,59436.56
Tennessee,Rutherford,2020,73159.72,58775.25
Tennessee,Rutherford,2021,74185.37,58828.13
Tennessee,Rutherford,2022,74430.47,58268.6
Tennessee,Rutherford,2023,75253.73,58170.09
Tennessee,Rutherford,2024,76262.94,58215.98
